geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HIS92_RS10985	7.63499868304858	-2.15482485851649	1.59443217245369	8.20937099874055	0.084202837730178	0.999991084536226
HIS92_RS10990	52.4953023379098	0.0147166900172068	0.523931645333181	0.198218907262799	0.99540141668391	0.999991084536226
HIS92_RS10995	27.6395941965011	-0.929623963041042	1.20899165031506	1.78428820238616	0.775355635752433	0.999991084536226
HIS92_RS11000	31.1274275832192	-0.85201852468773	1.67064370164354	0.568810838655736	0.966465654656559	0.999991084536226
HIS92_RS11005	1.77643299197743	-0.907048368880122	3.19646495950614	0.25165798211475	0.992717302476884	0.999991084536226
HIS92_RS11020	29.5870567516092	-0.751578426920674	0.773303075055348	1.01861116358049	0.906960920495226	0.999991084536226
HIS92_RS11025	14.8646488563913	-0.3239932706027	0.889106902947549	1.35089994744617	0.852682340543522	0.999991084536226
HIS92_RS11030	48.8040357444577	-0.579788794133649	0.681530430969829	1.78530518979753	0.775169735210813	0.999991084536226
HIS92_RS11040	175.729102968869	-0.292952160736573	0.518878824834425	1.05580588416129	0.901219193501967	0.999991084536226
HIS92_RS11045	72.3047949603102	-0.887049239219702	0.669351213348437	2.95769546489993	0.564929742990867	0.999991084536226
HIS92_RS11050	33.1509972069837	0.987056591732435	0.633220848895913	3.14852728762762	0.533284559703089	0.999991084536226
HIS92_RS11055	192.532227228499	0.615113764475578	0.765189651266059	1.2574034446655	0.868560084086917	0.999991084536226
HIS92_RS11060	473.854439024386	-0.224189660008828	1.46091556824173	0.0676674705412665	0.999440386917519	0.999991084536226
HIS92_RS11065	74.5740488249116	-0.380052860519681	0.561898277822368	0.730749217353519	0.947483478515832	0.999991084536226
HIS92_RS11070	4.4877149921877	-3.33581538792511	1.90680955615881	4.13740565178595	0.387729291235482	0.999991084536226
HIS92_RS11075	187.478122428982	-0.339497247677316	0.593512610234026	1.62704177669448	0.80392388038582	0.999991084536226
