FEATURE_ID	G-t0-1	G-t0-2	G-t5-1	G-t5-2	G-t10-1	G-t10-2	G-t20-1	G-t20-2	G-t30-1	G-t30-2	G_M-t5-1	G_M-t5-2	G_M-t10-1	G_M-t10-2	G_M-t20-1	G_M-t20-2	G_M-t30-1	G_M-t30-2
HIS92_RS18825	109.34333292771736	113.15526786365444	189.1513008060854	146.32975206307637	230.76465897919851	239.08037405502012	240.36715027749287	186.4428797386314	130.71994258792864	171.2102704125139	168.0961340544305	129.16679160782613	278.1200868186884	142.83372543455545	213.89969430028094	142.0989539349255	158.651577613498	96.91195264893179
HIS92_RS18830	313.456230995706	340.865607735399	259.0521848022659	256.7080918477186	305.93357440372114	384.31611295014386	285.8054433130513	334.92677567546576	284.00907960638335	287.7443493626591	296.47411501377286	297.83926404587464	346.0623127964308	293.38445630626296	273.37879720838157	406.8694912299017	209.15045175714695	245.16421156837788
HIS92_RS18835	4.793418260309688	3.0907799733114825	7.011636413303785	6.04789079212881	5.612801594963165	8.854757968647213	8.445817838397343	5.787609670578092	8.04317419062346	7.283516671590115	3.7359322281927128	6.604693250261953	9.049243296635302	5.4219743891021	9.020003290523753	6.948364827396495	5.174609299697585	4.720638438685333
HIS92_RS18840	3.1748614451401833	5.400373799522261	5.645733215906944	4.073069308984709	3.7651091444473406	5.8278764181402565	5.8948361239426355	4.842693805993915	4.154166889662666	5.982888694520452	5.049666638106634	6.030372098065261	6.67920338561177	4.979364234889684	6.2127573684729915	4.104632504214918	4.928199333045319	3.6416353669858283
HIS92_RS18845	7465.241868087448	30030.95626160934	8228.02205197273	25048.510021741764	8166.25361289751	16768.922146996294	5096.513604337626	26688.15643352231	9683.363019803675	19763.425205632237	10091.139604271437	35481.31539094658	6330.165061591463	53052.512510975386	5343.52609219119	23128.20083056602	9568.96592017198	25029.99572024243
HIS92_RS18850	0.684480394804085	2.2407033333368442	0.9344839610869711	0.3618953519818318	0.4599826737791798	0.39739008134225356	1.819379411441282	0.519480868006066	0.38873396305915997	2.097446664153663	0.1805610206078626	1.6238117859749854	0.6317396263688795	0.8111039854317158	0.40480607759358617	1.061919907583238	0.18062315480076474	0.7118366490938336
HIS92_RS18855	0.8891534540347182	0.5821435130728075	0.5202484237143852	0.0	0.0	0.0	0.0	0.44987722229283494	0.0	0.0	0.0	0.0	0.205160540426168	0.0	0.26292551608406944	0.0	0.0	0.0
HIS92_RS18860	1.4464697338363839	3.030488718771361	1.8055192504027147	2.141358462284842	2.3329264794542133	2.855250903424007	2.6913467370203974	1.6832726690574016	2.2453984628589967	2.65944194258718	1.8315280559266445	1.830133432358835	2.336277924470238	1.2341199395563907	3.507350903552084	1.795271295116798	1.8321583166393358	1.4541373334093866
HIS92_RS18865	61.68875897065725	34.14843385542363	56.1610065616881	60.98021850959587	50.03779572260264	36.679937717731065	54.29268464031043	74.61378320954336	97.41636519708902	48.605085259642124	72.47937245709709	93.53767335385217	56.090207006166295	71.73949242136743	52.60400415250157	38.639687332839046	70.66098385819392	58.76231336892699
HIS92_RS18870	243.6844616591481	340.98353691241164	312.29257103517295	433.43415960693	445.081702488747	505.1170511516372	541.3403110289653	385.56029251262487	311.64846500517575	393.6646577589221	349.4602897812933	312.04353512170894	486.9351011488611	281.74769082916913	611.7061862064046	336.03729898012364	341.4379702917123	277.1730998305884
HIS92_RS18875	3.3486887007338315	2.030038917382098	2.9027194102628258	1.4754195119259297	2.083682197461242	1.6201287931645723	2.0604083078288022	1.8825631455946323	2.465304278546126	3.10950134825578	3.9260447557812177	3.4326733481294562	2.5755538613500475	3.5272624597235644	2.7506053990333417	1.2827750450578146	1.472773416067774	2.5796473437246616
HIS92_RS18880	38.65277086610926	31.10309626989	31.586511439801956	36.81962085565155	31.199420045915208	31.341777248719403	40.417116538391774	37.14700492646552	46.3974038647297	33.38549438640692	33.03836769931962	35.859176940280925	31.638686198578334	32.75315141171881	32.245936508310514	42.24853970943762	32.47991372935181	34.62082512085833
HIS92_RS18885	23.534840241417875	26.390505925967272	27.642159975419517	26.46765110103684	36.99096030116678	33.97044243732167	39.60193387359123	22.86150271565525	25.722856086059227	28.977431919229485	22.809581259226228	19.70755244029776	39.902622099231465	18.951924304764717	37.10359648480997	19.724390477770697	25.390824843318974	15.325324273202964
HIS92_RS18890	30.38112430050528	48.200841401973285	34.49977976763823	57.85839325693006	49.69840348655491	62.3727269544763	42.28094073007369	49.04777121063701	25.16240317359062	38.697444464863594	39.017097676255496	41.09481434478476	45.88813938920504	24.158832756164497	55.85320219359439	37.7278982776818	27.69057455829905	22.518615758753505
HIS92_RS18895	23.184216406996295	44.77285832957207	35.946176145194386	68.12368022306275	48.75816342059306	64.39546398578264	54.49424731395487	46.414918934488355	25.891767102760298	46.23149418355001	31.899113640722394	37.59030962015656	49.06874166882417	28.65900748525396	64.61077233867285	34.7897438944128	31.46995149965508	23.272421941447057
HIS92_RS18900	11.799926806125262	26.071265934927347	12.933487694921059	26.940287727841064	19.769775042847993	34.25352945763269	20.845017920735746	27.13775502218069	16.24601437014267	24.178044757607104	17.23581140264839	26.348140762572008	21.93894166170151	19.183045332871604	26.385847759275485	23.45073129246317	19.30045807346881	21.973810538783663
HIS92_RS18905	12.810852537735862	35.27443861391666	19.264644600908916	35.369895972778785	27.087868566996143	41.35873338326061	25.65820345714531	36.270794268619355	20.342247291327386	32.60230064600687	18.94996849943905	45.524191627155325	26.4514906676194	30.36152278140766	31.0668624648246	29.152174213953117	20.773153092144057	24.07245169762865
HIS92_RS18910	9.428040692273216	25.272264149443238	11.49249342781495	21.40191862638319	14.462167116277602	28.111980542410688	17.47854844183586	25.276999862724537	12.707061702070375	20.411592536749627	13.651739312343057	26.607374226875113	15.7243383696124	18.822653221247307	15.757705506326602	18.460274350752556	13.115588119078128	16.69665812516704
HIS92_RS18915	0.0	0.5864556872437172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HIS92_RS18920	14.336453630003087	20.26899681942847	12.521718074555167	18.78498038379921	15.359100733863793	16.465741944275678	18.91539791877885	18.134226176958606	16.75608136301969	17.190413381465586	22.197836811842905	21.688024541200836	13.231797328928936	18.909035866559314	19.169167523160198	11.92683240991254	16.284015347759667	11.776289581371927
HIS92_RS18925	13.819985114139621	24.976728822790456	11.371144118328704	10.846089864455495	11.125374590016275	21.312408529129193	21.04559914425134	16.388384526381845	13.489994075207754	13.233889666683826	12.531794644569512	14.799025403925462	14.449163775728687	18.935415659899938	19.15600188612506	13.400417881407526	13.675753149200757	12.725492476856035
HIS92_RS18930	16.731742984099856	33.527560987706856	21.65629497122187	25.734780585374708	25.043501127977564	22.518771276061035	22.91070369963096	30.20685047294532	16.269236231735213	27.754092222639375	24.27542610394597	31.072941583471945	25.620551513849005	29.19974347554177	31.484917146167813	19.009677357971547	19.266469845414907	20.56416986271075
HIS92_RS18935	18.60382611518795	26.77456734276929	18.681352961319877	26.982897380266998	21.512610795410655	28.242785718679706	24.724899693945627	27.030045164787794	19.75098987638305	27.66335658921246	20.823953603299028	30.54946744184709	23.377211849641192	23.4157795045838	23.194294175632507	21.14845344554775	19.371614301431983	18.56300284504571
HIS92_RS18940	90.19442119789976	80.98737827739498	51.49663907885999	73.3197769687962	51.31784274389637	76.16339410679628	50.49890637031785	88.9683798508656	100.28424842119972	84.52470981439926	71.55351637758372	84.80457747344724	50.684064519227995	73.88239544363636	55.605128410733656	84.62343402173255	55.037587597395095	75.76234916604197
HIS92_RS18945	7.493935590061627	6.318853531569629	6.1452818500722675	6.528558168968021	7.6303855118299	9.393704504968294	9.242817549908077	7.540195697584136	7.7381784195814	9.014634190365934	7.188532651430399	10.55011778524697	6.484228911497477	8.476607847751172	5.288135731944382	6.60583980069385	6.516849505370313	6.789740807866847
HIS92_RS18950	0.4053347589342627	0.44229898199945156	0.7905450907838703	0.3571779079150295	0.4539866240278684	1.3727348247483804	0.5985543687547359	0.0	0.12788888915043747	0.3763828447609417	0.7128293550999417	0.5342149264846321	0.31175232958613236	0.4803185612053737	0.998823189593113	0.0	0.35653732604992666	0.11709293110482055
HIS92_RS18955	2.7315069948087403	159.85252644250465	3.3153333060745434	188.8913637541623	4.214835584103617	151.3180397874964	4.959761345941751	115.57505031382657	4.505185230304844	58.65296290117624	4.638746530400736	180.5724999843004	3.786967222214482	139.9609793572146	6.6385187987334024	86.37123976430235	3.8050810991959456	53.10519166669732
HIS92_RS18960	2.162883849164128	3.218354381215521	3.451404176836897	4.938057174061038	5.175324482312272	6.706630708831663	4.681984732017481	2.4871261069847788	3.6292371347935126	3.697272944572421	3.8901358098441943	4.664608382475568	3.9697730586526814	2.7960007302686796	5.52357344358728	3.4741824136982475	2.2051688682315587	3.408070677685021
HIS92_RS18965	4.7592920623994885	4.9813404759857915	5.683034989972399	7.574610211828568	8.05020993557315	9.727279300325442	7.852720819797322	6.142901830504575	6.711341825416732	7.57602738129253	7.81464229752637	8.704771198354672	5.490722254618408	4.834049455344042	8.185536548930548	6.446073394090725	4.741660061101735	3.9562362625897807
HIS92_RS18970	4.775377021924041	5.547049016286115	3.3048477362068795	7.126495519387452	4.572156159397438	6.595747263042605	6.056550535433071	5.260984586813025	4.009764693267697	6.973271335658529	5.892192965483754	7.917949897641648	4.976123171610495	5.841326366421189	7.17434975098187	7.833506843625348	4.369853182494086	4.806030879232252
HIS92_RS18975	3.802668860022694	8.962813333347377	5.339908349068406	8.042118932929597	6.644194176810375	8.168573894257435	7.58074754767201	8.080813502316582	7.198777093688148	7.838942078150054	6.41994739939067	10.624941315638793	8.94964470689246	10.093738485372464	6.2969834292335625	8.25937705898074	5.21800224979987	6.0637936774659895
HIS92_RS18980	12.039216107141456	17.206144832789235	15.116998250308741	14.997931822771287	13.663264100973826	18.401903399600535	16.63757016850306	20.28212992486728	14.269752109457514	15.655951171559481	11.87433965921164	24.99435534163487	14.381121230225485	18.81141901014467	14.807223778056137	16.07000675939718	13.00301051998163	11.541649046124933
HIS92_RS18985	5.2449341095831095	25.436632217799783	16.90702909516789	36.974368491637755	28.882847809387453	40.81228054266979	30.819239929752506	27.274484127440306	10.894438442628534	25.772021716718335	17.294700166656717	20.929854278396903	30.25500017850959	16.919173093704146	45.45126873221962	21.598531632148145	26.91212467111796	19.318217494986268
HIS92_RS18990	0.17128168519648962	0.7476064001690446	0.701524786651692	0.45279635635120596	1.2277787452462843	0.6960893303964876	1.1761254221742314	0.3899785553020043	0.42152612613749013	0.1431427674480352	0.4970116856203206	0.6320786618368687	1.027546276128796	0.12178048506481853	0.709079578787632	0.23620503662537662	0.36158742981833925	0.20781507460954696
HIS92_RS18995	18.77973621885592	46.50475972627471	45.412171862564556	68.05671951142575	70.63025901423063	88.71249638216325	86.72606888826678	69.94881831088367	33.64943559890322	59.26466036718634	52.09883889745491	53.33781428366523	80.50758261445432	37.11710998090198	100.61383531249182	51.60504765791323	56.13981569748316	25.644022931618192
HIS92_RS19000	26.045356561263134	60.47824274700834	56.46696352776903	83.50464598747449	97.32532263975216	104.85833577981815	103.36381677607827	65.88971009581213	42.33573121193793	65.96893485362088	55.61896737356726	58.641503030544875	97.92470410341326	42.80479964143701	107.15900200400726	57.79168822786509	64.22928508962237	35.67168592494259
HIS92_RS19005	89.85177030696155	154.00029407431535	93.94032859373786	150.5975844293172	134.8107214125399	166.25688758265838	139.06886707250396	147.40787162182446	106.29860054557005	134.53185421804938	116.22314189351809	148.81642488296615	142.21694036090418	133.37926268453637	157.2893656978876	167.24450277587894	124.00503593937734	122.0434423692522
HIS92_RS19010	3.0566375058435193	3.6864786548468698	2.562406131287999	2.9770105451277074	2.64271888458499	2.646330105612494	2.494418926994515	3.730689160477168	4.060684906062671	2.4648486297149477	3.25356813186969	4.169877190394826	3.835728773555318	2.287636961128919	2.8542867555379248	2.726963579709933	3.18393366001348	2.649000390382448
HIS92_RS19015	3.494406882472566	7.157881201719894	4.453871591951119	5.753325768938035	4.222823616908144	5.961690658412937	5.160160730379865	6.5913570211725885	4.990422204263206	5.080691366446653	5.09415503007734	7.473818035715501	4.137534244944468	4.9399556628574635	5.166536376891524	5.442445454158471	5.743007448375814	5.312961892969044
HIS92_RS19020	0.7255492184923301	0.0	0.0	0.6393484551679028	0.0	0.7020558103713146	0.5357061600354887	0.0	0.2289211115792831	1.0105879381831284	0.0	0.3187482394691638	0.0	0.2865900748525396	0.0	0.6253528344656846	0.3191009068146844	0.0
HIS92_RS19025	7.375559431482315	9.077585371697962	8.69786489954641	13.489798965422064	11.910977667757168	12.94570997847814	16.052188128722975	12.475318717482162	7.711881418451026	11.348209707730165	11.537977274303843	10.39887873445499	12.763604685236492	7.012310342136608	21.048959046503374	7.539715025472792	9.052507994742818	6.168970487320279
HIS92_RS19030	100.66520570705104	48.9122465853006	99.52452218826534	49.87587425131808	80.97996309819267	78.29208775345026	81.89853336668203	63.265456496259404	137.35266694756984	79.7182806385295	101.20870610616633	59.744434413591954	88.96448481809914	58.36834508776853	66.46096291381609	79.01491311573396	63.65311282533756	46.528194236290375
HIS92_RS19035	0.0	0.25559812034835133	0.2855277870264583	0.23220888202224074	0.1639701487106304	0.12749197524902808	0.09728320097496766	0.07407179446952246	0.0	0.04078240267082843	0.19309390823681835	0.6174300038143609	0.1688972972031407	0.4163536196404934	0.1298711992279665	0.20188953493645992	0.07726414208587999	0.05074972074518857
HIS92_RS19040	1.007707247906014	1.0996044135819698	0.0	0.8879839655109761	0.0	0.9750775144046036	1.1160545000739346	0.42488404327656637	1.9076759298273591	0.4678647861958928	1.3291297350300997	1.3281176644548491	1.1625763957482853	1.1941253118855817	0.0	0.8685456034245619	0.0	1.1644241482090487
HIS92_RS19045	0.0	2.32857405229123	1.387329129905027	0.0	1.8589713722448333	1.0324350152519333	2.8886116472501837	1.4995907409761167	1.3465947739957829	0.6605149922765545	0.9382092247271292	0.9374948219681288	0.27354738723489064	0.5619413232402737	0.0	2.2480003853341604	0.31284402628890623	0.0
