Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
logs | bowtie2 | G-t0-1	99.03															
logs | bowtie2 | G-t0-2	99.03															
logs | bowtie2 | G-t10-1	99.08															
logs | bowtie2 | G-t10-2	99.31															
logs | bowtie2 | G-t20-1	99.3															
logs | bowtie2 | G-t20-2	99.17															
logs | bowtie2 | G-t30-1	98.96															
logs | bowtie2 | G-t30-2	99.3															
logs | bowtie2 | G-t5-1	99.22															
logs | bowtie2 | G-t5-2	99.12															
logs | bowtie2 | G_M-t10-1	99.13															
logs | bowtie2 | G_M-t10-2	98.22															
logs | bowtie2 | G_M-t20-1	99.3															
logs | bowtie2 | G_M-t20-2	99.39															
logs | bowtie2 | G_M-t30-1	99.18															
logs | bowtie2 | G_M-t30-2	99.03															
logs | bowtie2 | G_M-t5-1	99.02															
logs | bowtie2 | G_M-t5-2	98.22															
qc | samtools_stats | G-t0-1									0.002653718	0.0	16679041.0	99.0313782457352	98.30385357523237	0.09653145810476531	16842178.0	
qc | samtools_stats | G-t0-2									0.002429866	0.0	16716171.0	99.03138509224411	98.46562166203486	0.06452140355824491	16879670.0	
qc | samtools_stats | G-t10-1									0.002406553	0.0	17075421.0	99.08168771846756	98.47066906197631	0.060480408131055	17233680.0	
qc | samtools_stats | G-t10-2									0.002309157	0.0	13467978.0	99.30802808059272	98.67631355137975	0.054535445163636564	13561822.0	
qc | samtools_stats | G-t20-1									0.00234025	0.0	17422595.0	99.29992580402437	98.6990683497796	0.04782443013922831	17545426.0	
qc | samtools_stats | G-t20-2									0.002595353	0.0	14239958.0	99.17152531966545	98.55154824339827	0.06476811135769422	14358918.0	
qc | samtools_stats | G-t30-1									0.00258427	0.0	18082540.0	98.96339459810196	98.2855358388717	0.0848294883501201	18271948.0	
qc | samtools_stats | G-t30-2									0.002519365	0.0	12956953.0	99.29973392755515	98.72680986051391	0.05898840970098387	13048326.0	
qc | samtools_stats | G-t5-1									0.002551262	0.0	21909333.0	99.21579998355259	98.48126824747773	0.11621870418318501	22082504.0	
qc | samtools_stats | G-t5-2									0.00239678	0.0	14053069.0	99.12216688894337	98.56601194961829	0.05022738808271458	14177524.0	
qc | samtools_stats | G_M-t10-1									0.00270806	0.0	16832450.0	99.131328419695	98.479795287972	0.06061855305816566	16979950.0	
qc | samtools_stats | G_M-t10-2									0.002755428	0.0	13996032.0	98.22497847912204	97.6712395871304	0.07896018191931843	14248954.0	
qc | samtools_stats | G_M-t20-1									0.002412425	0.0	13005029.0	99.29667872629331	98.7239355389236	0.039878923221734454	13097144.0	
qc | samtools_stats | G_M-t20-2									0.002546957	0.0	19154214.0	99.39392901565616	98.8189617461669	0.06782208093919312	19271010.0	
qc | samtools_stats | G_M-t30-1									0.002488001	0.0	13881885.0	99.17581656051246	98.51793724023466	0.06311955035732739	13997248.0	
qc | samtools_stats | G_M-t30-2									0.002571301	0.0	19326472.0	99.03077647230512	98.51744412758148	0.05899376407270033	19515622.0	
qc | samtools_stats | G_M-t5-1									0.00237929	0.0	13532872.0	99.02272941799724	98.37801093628694	0.06136203822066187	13666430.0	
qc | samtools_stats | G_M-t5-2									0.002617226	0.0	14357402.0	98.21932266206657	97.68375262421657	0.08498603336668105	14617696.0	
trimmed | G1_0_2																0.2915148521356946
trimmed | G1_10M_2																0.24023435897381537
trimmed | G1_10_2																0.2921783774692362
